Designator	X-Loc	Y-Loc	Rotation	Side	Type	X-Size	Y-Size	Value	Footprint	Populate	MPN
R6	32.75	-27.75	0	top	SMT	2	1	0.05	Resistors_SMD:R_1206	1	CSNL1206FT50L0
R7	46.25	-26.75	0	top	SMT	2	1	6.8k	Resistors_SMD:R_0603	1	
R8	44.75	-12.25	270	top	SMT	2	1	2.32k	Resistors_SMD:R_0603	1	
R9	13.25	-12	270	top	SMT	2	1	1k	Resistors_SMD:R_0603	1	
T1	51.5	-13.75	0	top	SMT	2	1	H2019FNL	pizero-poe-special:Transformer_Pulse_H2019FNL	1	749013011A
T2	16.75	-23.5	90	top	SMT	2	1	TRANSFO	project_foot:PoE_TRANS	1	7491199501
T3	14	-15.25	90	top	SMT	2	1	VOLTAGE_REF	TO_SOT_Packages_SMD:SOT-23	1	TLV431BSN1T1G
U1	41.25	-26.5	180	top	SMT	2	1	LTC4267	Housings_SSOP:QSOP-16_3.9x4.9mm_Pitch0.635mm	1	LTC4267CGN#PBF
U2	20.5	-15.25	270	top	SMT	2	1	PS2911-1-K-AX	project_foot:OPTO_ISO	1	PS2911-1-K-AX
U3	43.25	-11	180	bottom	nostuff	2	1	nostuff-AT24CS32-SSHM	Housings_SSOP:TSSOP-8_4.4x3mm_Pitch0.65mm	0	
U4	19.75	-8.75	0	top	SMT	2	1	AP7365_SOT-23-5	TO_SOT_Packages_SMD:SOT-23-5	1	AP7365-33WG-7
W1					nostuff	2	1	TEST_1P	Measurement_Points:Measurement_Point_Round-SMD-Pad_Small	0	
W2					nostuff	2	1	TEST_1P	Measurement_Points:Measurement_Point_Round-SMD-Pad_Small	0	
Y1	35.25	-9	180	top	SMT	2	1	25Mhz	w_crystal:crystal_smd_5x3.2mm	1	445I23D25M00000
